author,affiliation,city,country,count
Alex Rasin,"Brown University, Providence, RI",Providence,United States,13
Alex Wergeles,"Department of Electrical Engineering, University of California Los Angeles, Los Angeles, CA",Los Angeles,United States,8
Alexander Aiken,"BWRC, University of California, Berkeley, CA 94720, USA",Berkeley,United States,3
Alexander Brodsky,"George Mason University, Fairfax, VT, USA",Fairfax,United States,5
Alexander Böhm 0002,"Management Consult Dr. Eisele and Dr. Noll GmbH D-68165 Mannheim, Germany",Mannheim,Germany,3
Alexander Hinneburg,"University of Halle, Germany",Halle Saale,Germany,3
Alexander Kotopoulis,"Oracle, Redwood Shores, CA, USA",Redwood City,United States,8
Alexander Lang,"IBM Software - Germany, Boeblingen, Germany",Böblingen,Germany,13
Alexander Markowetz,HKUST,Clear Water Bay,Hong Kong,3
Alexander Markowetz,"Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong",Clear Water Bay,Hong Kong,3
Alexander Rasin,"Brown University, Providence, RI, USA",Providence,United States,7
Alexander S. Szalay,The Johns Hopkins University,Baltimore,United States,8
Alexandr Andoni,"MIT, Cambridge, MA, USA",Cambridge,United States,5
Alexandra Meliou,"University of Washington, Seattle, WA, USA",Seattle,United States,4
Alexandre V. Evfimievski,"Cornell University, Ithaca, NY",Ithaca,United States,3
Alexandre V. Evfimievski,"IBM Almaden Research Center, San Jose, CA",San Jose,United States,4
Alexandros Labrinidis,"University of Pittsburgh, Pittsburgh, PA",Pittsburgh,United States,3
Alexandros Labrinidis,"University of Pittsburgh, Pittsburgh, PA, USA",Pittsburgh,United States,7
Alexandros Ntoulas,"Microsoft Research, Mountain View, USA",Mountain View,United States,4
Alexey Pryakhin,"University of Munich, Munich, Germany",Munich,Germany,6
Alfons Kemper,"Technische Universität München, Garching, Germany",Garching,Germany,4
Alfons Kemper,"Technische Universität München, Munich, Germany",Munich,Germany,5
Ali Dasdan,"Yahoo!, Sunnyvale, CA",Sunnyvale,United States,4
Ali Khoshgozaran,"University of Southern California, Los Angeles, USA",Los Angeles,United States,5
Alin Deutsch,"UC San Diego, La Jolla, CA",La Jolla,United States,3
Alin Deutsch,"UC San Diego, La Jolla, CA, USA",San Diego,United States,3
Alin Deutsch,"University of California - San Diego, San Diego, CA, USA",La Jolla,United States,4
Alin Deutsch,"University of California, San Diego",San Diego,United States,19
Alin Deutsch,"University of California, San Diego, La Jolla, CA, USA",San Diego,United States,3
Alin Dobra,Cornell University,Ithaca,United States,4
Alin Dobra,"IEDAL Lab, University of Florida, Gainesville, FL 32611, USA",Gainesville,United States,4
Alin Dobra,"University of Florida, Gainesville",Gainesville,United States,5
Alin Dobra,"University of Florida, Gainesville, FL",Gainesville,United States,4
Alin Dobra,"University of Florida, Gainesville, FL, USA",Gainesville,United States,12
Alkis Simitsis,"Palo Alto Research Center, Palo Alto, CA",Palo Alto,United States,4
Allen Miu,"MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA",Cambridge,United States,10
Allison L. Holloway,"University of Wisconsin, Madison, WI",Madison,United States,4
Allison Terrell,"University of Wisconsin-Madison, Madison, WI, USA",Madison,United States,3
Alok Kirpal,IIT Bombay,Mumbai,India,2
Alon Y. Halevy,"Department of Computer Science and Engineering, University of Washington, Seattle, WA",Seattle,United States,7
Alon Y. Halevy,"Department of Electrical Engineering, University of Washington, Seattle, WA",Seattle,United States,15
Alon Y. Halevy,"Google Inc., Mountain View, CA",Mountain View,United States,2
Alon Y. Halevy,"Google Inc., Mountain View, CA, USA",Mountain View,United States,11
Alon Y. Halevy,"Google, Inc., Mountain View, CA, USA",Mountain View,United States,5
Alon Y. Halevy,"Google, Mountain View, CA, USA",Mountain View,United States,13
Alon Y. Halevy,"Nimble Technology, Inc., 1938 Fairview Avenue East, Seattle, WA",Seattle,United States,3
Alon Y. Halevy,"Univ. of Washington, Seattle, WA",Seattle,United States,4
Alon Y. Halevy,University of Washington,Seattle,United States,11
Alon Y. Halevy,"University of Washington, Seattle, WA",Seattle,United States,8
Alpa Jain,"Yahoo Research, Santa Clara, CA, USA",Santa Clara,United States,3
Alper Okcan,"Northeastern University, Boston, MA, USA",Boston,United States,2
Alun D. Preece,"University of Aberdeen, United Kingdom",Aberdeen,United Kingdom,5
Alvaro A. A. Fernandes,"The University of Manchester, Manchester, United Kingdom",Manchester,United Kingdom,7
Amal Perera,"North Dakota State University, Fargo",Fargo,United States,9
Amarnath Gupta,"Univ. of California, San Diego La Jolla, CA",San Diego,United States,3
Amarnath Gupta,"University of California San Diego, La Jolla, CA, USA",San Diego,United States,4
Ambuj K. Singh,"Department of Computer Science, University of California, Santa Barbara, CA",Santa Barbara,United States,2
Ambuj K. Singh,"University of California, Santa Barbara, Santa Barbara, CA, USA",Santa Barbara,United States,2
Ambuj Singh,"University of California, Santa Barbara, CA, USA",Isla Vista,United States,5
Ameet Kini,"University of Wisconsin - Madison, Madison, WI",Madison,United States,4
Ameet Kini,"University of Wisconsin, Madison, WI",Madison,United States,6
Amey Purandare,"Sy Syms School of Business, Yeshiva University, 500 West 185th Street, New York, NY 10033, USA",New York,United States,5
Amit Chandel,"University of Toronto, Toronto, ON, Canada",Toronto,Canada,5
Amit Ganesh,Oracle Corporation,Mesa,United States,4
Amit Manjhi,Carnegie Mellon University,Pittsburgh,United States,3
Amit Manjhi,"Carnegie Mellon University, Pittsburgh, PA",Pittsburgh,United States,6
Amit Marathe,"AT&T Labs-Research, Florham Park, NJ, USA",Florham Park,United States,6
Amitanand S. Aiyer,"Palo Alto Research Center, Palo Alto, CA",Palo Alto,United States,12
Amnon Meyers,"Department of Informatics, University of California, Irvine, Irvine CA 92697, USA",Irvine,United States,12
Amol Deshpande,"BWRC, University of California, Berkeley, CA 94720, USA",Berkeley,United States,3
Amol Deshpande,U.C. Berkeley,Berkeley,United States,4
Amol Deshpande,U.C. Berkeley & Intel Research Pittsburgh,Pittsburgh,United States,4
Amol Deshpande,"Univ. of Maryland, College Park, MD",College Park,United States,3
Amol Deshpande,"University of California, Berkeley, CA",Berkeley,United States,10
Amol Deshpande,University of Maryland,College Park,United States,2
Amol Deshpande,"University of Maryland, College Park, MD, USA",College Park,United States,7
Amol Ghoting,IBM T.J. Watson Research Center,Ossining,United States,2
Amol Katkar,"University of Massachusetts, Department of Electrical and Computer Engineering, Amherst, MA 01003, USA",Amherst,United States,5
Amr El Abbadi,"UC Santa Barbara, Santa Barbara, CA, USA",Santa Barbara,United States,4
Amr El Abbadi,"Univerisity of California, Santa Barbara, CA",Santa Barbara,United States,4
Amr El Abbadi,"University of California, Santa Barbara",Isla Vista,United States,3
Amr El Abbadi,"University of California, Santa Barbara, CA",Santa Barbara,United States,3
Amr El Abbadi,"University of California, Santa Barbara, CA 93106, USA. E-mail: {vigna,fredrik,balzarot,wkr}@cs.ucsb.edu",Santa Barbara,United States,3
Amy Wang,"UCLA Anderson School, Los Angeles, CA",Los Angeles,United States,6
An Lu,"Hong Kong University of Science and Technology, Hong Kong, Hong Kong",Clear Water Bay,Hong Kong,4
AnHai Doan,"Department of Computer Science and Engineering, University of Washington, Seattle, WA",Seattle,United States,3
AnHai Doan,"Department of Curriculum and Instruction, University of Illinois, 383 Education Building, 1310 S. Sixth Street, Champaign, IL 61820, USA",Champaign,United States,5
AnHai Doan,University of Illinois,Urbana,United States,3
AnHai Doan,University of Illinois at Urbana-Champaign,Champaign,United States,4
AnHai Doan,"University of Wisconsin, Madison, WI, USA",Madison,United States,10
AnHai Doan,"University of Wisconsin-Madison, Madison, WI, USA",Madison,United States,14
Ana Lelescu,"IBM Almaden Research Center, San Jose, CA",San Jose,United States,5
Ana-Elisa Schmid,"Microsoft Corp., Redmond, WA, USA",Redmond,United States,5
Anand Bhaskar,"Cornell University, Ithaca, New York",Ithaca,United States,7
Anand Ranganathan,"IBM T. J. Watson Research Center, Hawthorne, NY, USA",Hawthorne,United States,4
Anand Ranganathan,"IBM TJ Watson Research Center, Hawthorne, NY, USA",Hawthorne,United States,8
Ananth Raghavan,"Lockheed Sanders, Nashua, NH",Nashua,United States,6
Anastasios Kementsietsidis,"IBM Research - Thomas J. Watson Research Ctr, Hawthorne, NY, USA",Hawthorne,United States,4
Anastasios Kementsietsidis,"University of Edinburgh, Edinburgh, Scotland UK",Edinburgh,United Kingdom,3
Anastasios Kementsietsidis,University of Toronto,Toronto,Canada,3
Anastassia Ailamaki,"Carnegie Mellon University, Pittsburgh, PA",Pittsburgh,United States,15
Anastassia Ailamaki,"Learning Research and Development Center, University of Pittsburgh, 3939 O'Hara St., Pittsburgh, PA 15260, USA. E-mail: forbesk@cs.pitt.edu",Pittsburgh,United States,8
Andrea Tagarelli,"University of Calabria, Rende (CS), Italy",Rende,Italy,3
Andreas Grünhagen,TU München,Munich,Germany,4
Andreas Haeberlen,"University of Pennsylvania, Philadelphia, PA, USA",Philadelphia,United States,8
Andreas Koeller,"Worcester Polytechnic Institute, Worcester, MA",Worcester,United States,5
Andreas Müller,Volkswagen AG,Wolfsburg,Germany,4
Andreas Neumann,"Yahoo!, Sunnyvale, CA, USA",Sunnyvale,United States,13
Andreas Züfle,"Ludwig-Maximillians-Universität München, München, Germany",Munich,Germany,5
Andrew Goodney,"USC, Los Angeles, CA, USA",Los Angeles,United States,8
Andrew Hogue,"University of Ontario Institute of Technology, Ontario, Canada, Alcatel, Canada",Oshawa,Canada,4
Andrew McGregor,"University of Massachusetts Amherst, Amherst, MA, USA",Amherst,United States,11
Andrew Nierman,University of Michigan,Ann Arbor,United States,11
Andrew Pavlo,"Brown University, Providence, RI, USA",Providence,United States,7
Andrew Tomkins,"Yahoo! Research, Santa Clara, CA, USA",Santa Clara,United States,5
Andrew Witkowski,"University of Calgary, Department of Computer Science, 513, 2500 University Drive N.W., 5600 MB, Calgary, Alberta, Canada",Calgary,Canada,15
Andrey Balmin,"IBM Almaden Research Center, San Jose, CA",San Jose,United States,4
Andrey Balmin,"IBM Almaden Research Center, San Jose, CA, USA",San Jose,United States,7
Andrey Balmin,"IBM, San Jose, CA, USA",San Jose,United States,6
Andrey Balmin,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,4
Angela Bonifati,"DEIS University of Calabria, Rende (CS), Italy",Rende,Italy,5
Angela Bonifati,"ICAR - CNR, Rende, Italy",Rende,Italy,5
Anguel Novoselsky,"Oracle, Redwood Shores",Redwood City,United States,6
Anh-Tuan Tran,Oracle Corporation,Mesa,United States,11
Ani Thakar,The Johns Hopkins University,Baltimore,United States,8
Anil Bahuman,"Indian Institute of Technology, Mumbai, India",Mumbai,India,3
Anil Edakkunni,"University of California, Berkeley",Berkeley,United States,7
Anil Nori,"Microsoft Research, One Microsoft Way, Redmond, WA 98052, USA",Redmond,United States,3
Anindya Datta,"Chutney Technologies, Inc., Atlanta, GA",Atlanta,United States,5
Anindya Datta,"Georgia Institute of Technology, Atlanta, GA",Atlanta,United States,6
Anirban Maiti,"University of Texas at Arlington, Arlington, TX, USA",Arlington,United States,4
Anirban Majumder,"Bell Labs Research India, India",Bhopal,India,3
Anish Das Sarma,"Stanford University, Stanford, CA",Stanford,United States,4
Anish Das Sarma,"Stanford University, Stanford, CA, USA",Stanford,United States,3
Anish Das Sarma,"Yahoo Research, Santa Clara, CA, USA",Santa Clara,United States,3
Anisoara Nica,"Sybase iAnywhere Solutions, Waterloo, ON, Canada",Waterloo,Canada,3
Anja Klein 0001,"Communications Laboratory, Faculty of Electrical Engineering and Information Technology, Dresden University of Technology, Dresden, Germany",Dresden,Germany,4
Anja Theobald,"University of the Saarland, D-66041 Saarbrücken, Germany",Saarbrücken,Germany,2
Anjali Jhingran,"Brown University, Providence, RI",Providence,United States,13
Ankur Jain,"University of California, Santa Barbara, CA",Santa Barbara,United States,3
Ankur Panchbudhe,"University of Massachusetts, Department of Electrical and Computer Engineering, Amherst, MA 01003, USA",Amherst,United States,5
Anna Liu,"University of Massachusetts, Amherst, Amherst, MA, USA",Amherst,United States,5
Anne H. H. Ngu,"Southwest Texas State University, San Marcos, Texas",San Marcos,United States,5
Anne H. H. Ngu,Texas State University,San Marcos,United States,3
Anno Langen,"BEA Systems, San Francisco, CA",San Francisco,United States,3
Anno Langen,"Google Inc., Mountain View, CA, USA",Mountain View,United States,8
Anthony D. Nguyen,"Intel Corporation, Santa Clara, CA, USA",Santa Clara,United States,16
Anthony Tomasic,"Carnegie Mellon University, Pittsburgh, PA",Pittsburgh,United States,6
Anton Riabov,"IBM TJ Watson Research Center, Hawthorne, NY, USA",Hawthorne,United States,8
Antonio Badia,"University of Louisville, Louisville, KY",Louisville,United States,2
Antonios Deligiannakis,University of Maryland,College Park,United States,3
Antonios Deligiannakis,"University of Maryland, College Park",College Park,United States,6
Anurag Maskey,Brandeis University,Waltham,United States,16
Anurag Maskey,"Brandeis University, Waltham, MA",Waltham,United States,13
Aparna S. Varde,"Virginia State University, Petersburg, VA",Petersburg,United States,3
Aravind Menon,"Palo Alto Research Center, Palo Alto, CA",Palo Alto,United States,12
Aravind Yalamanchi,"Oracle USA, Nashua, NH, USA",Nashua,United States,2
Arcot Rajasekar,"Kiyon Company, Executive Square, Suite, La Jolla, CA",San Diego,United States,2
Ariel Fuxman,University of Toronto,Toronto,Canada,3
Arijit Khan,"University of California, Santa Barbara, SANTA BARBARA, CA, USA",Santa Barbara,United States,6
Arijit Khan,"University of California, Santa Barbara, Santa Barbara, CA, USA",Santa Barbara,United States,3
Aristides Gionis,"Department of Statistics, Stanford University, Stanford, CA, United States",Stanford,United States,3
Aristides Gionis,"Stanford University, Stanford, CA",Stanford,United States,4
Arjun Dasgupta,"University of Texas at Arlington, Arlington, TX",Arlington,United States,3
Arjun Dasgupta,"University of Texas at Arlington, Arlington, TX, USA",Arlington,United States,13
Armando Fox,"University of California at Berkeley, Berkeley, CA, USA",Berkeley,United States,8
Arnab Nandi,"University of Michigan, Ann Arbor, MI",Ann Arbor,United States,7
Arnab Nandi,"University of Michigan: Ann Arbor, Ann Arbor, MI",Ann Arbor,United States,2
Arnaud Sahuguet,"Lucent Bell Laboratories, Murray Hill, NJ",New Providence,United States,2
Arnaud Sahuguet,"The Wharton School, University of Pennsylvania, Philadelphia, PA",Philadelphia,United States,1
Arnd Christian König,"Microsoft Research, Redmond, WA, USA",Redmond,United States,6
Arnon Rosenthal,Mitre Corporation,San Diego,United States,8
Arnon Rosenthal,"The MITRE Corporation, Bedford, MA",Bedford,United States,2
Arnon Rosenthal,"The MITRE Corporation, Bedford, USA 01730",Bedford,United States,1
Arpit Jain,"Indian Institute of Technology, Bombay, Powai, Mumbai",Mumbai,India,4
Arsany Sawires,"NEC Laboratories America, Inc., Cupertino, CA",Cupertino,United States,12
Art Kaufmann,"Univ. of Maryland, College Park, MD",College Park,United States,4
Artem Oks,"Microsoft, Redmond, WA, USA",Redmond,United States,8
Arthur Meacham,"Sy Syms School of Business, Yeshiva University, 500 West 185th Street, New York, NY 10033, USA",New York,United States,5
Arthur T. Whitney,"Sy Syms School of Business, Yeshiva University, 500 West 185th Street, New York, NY 10033, USA",New York,United States,2
Arthur Zimek,"University of Munich, Munich, Germany",Munich,Germany,4
Arun Jagatheesan,"Kiyon Company, Executive Square, Suite, La Jolla, CA",San Diego,United States,2
Arunprasad P. Marathe,"NAS Division, NASA Ames Research Center, Moffett Field, CA, USA",Mountain View,United States,6
Arvind Arasu,"Department of Statistics, Stanford University, Stanford, CA, United States",Stanford,United States,8
Arvind Arasu,"Microsoft Research, Redmond, WA, USA",Redmond,United States,15
Arvind Arasu,"Stanford University, Palo Alto, CA",Stanford,United States,2
Arvind Kumar,"IEDAL Lab, University of Florida, Gainesville, FL 32611, USA",Gainesville,United States,5
Arvind Thiagarajan,"MIT CSAIL, Cambridge, MA, USA",Cambridge,United States,2
Ashish Chawla,"Yahoo! Inc., Dallas, and University of Texas at Arlington, Arlington, TX, USA",Arlington,United States,5
Ashish Goel,"Stanford University, Stanford, CA, USA",Stanford,United States,4
Ashish Kumar Gupta,University of Washington,Seattle,United States,2
Ashish Kumar Gupta,"University of Washington, Seattle, WA",Seattle,United States,3
Ashish Thusoo,"Palo Alto Research Center, Palo Alto, CA",Palo Alto,United States,8
Ashok Joshi,"Arizona State University at Polytechnic Campus, I3DEA, 878609, 7001 E. Williams Field Rd. Bldg. 140, 85212, Mesa, AZ, USA",Mesa,United States,4
Ashraf Aboulnaga,"IBM Almaden Research Center, San Jose, CA",San Jose,United States,5
Ashraf Aboulnaga,"University of Waterloo, Waterloo, ON, Canada",Waterloo,Canada,15
Ashutosh Singh,"IBM Almaden Research Center, San Jose, CA, USA",San Jose,United States,5
Ashutosh Singh,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,4
Ashwin Machanavajjhala,Cornell University,Ithaca,United States,5
Ashwin Machanavajjhala,"Cornell University, Ithaca, NY",Ithaca,United States,5
Ashwin Machanavajjhala,"Yahoo! Research, Santa Clara, CA, USA",Santa Clara,United States,2
Atul Adya,"Microsoft Research, One Microsoft Way, Redmond, WA 98052, USA",Redmond,United States,10
Avi Silberschatz,"Yale University, New Haven, CT, USA",New Haven,United States,9
Aydan R. Yumerefendi,"Duke University, Durham, NC",Durham,United States,8
Azbayar Demberel,"Duke University, Durham, NC",Durham,United States,8
Azza Abouzied,"Yale University, New Haven, CT, USA",New Haven,United States,5
Ba-Quy Vuong,"University of Wisconsin-Madison, Madison, WI, USA",Madison,United States,4
Badrish Chandramouli,Duke University,Durham,United States,3
Badrish Chandramouli,"Duke University, Durham, NC",Durham,United States,4
Badrish Chandramouli,"Duke University, Durham, NC, USA",Durham,United States,5
Badrish Chandramouli,"Microsoft Research, Redmond, WA, USA",Redmond,United States,4
Bahman Bahmani,"Stanford University, Stanford, CA, USA",Stanford,United States,3
Balaji Rathakrishnan,"Microsoft Research, One Microsoft Way, Redmond, WA 98052, USA",Redmond,United States,13
Balakrishna R. Iyer,"IBM Silicon Valley Lab., San Jose, CA",San Jose,United States,4
Balder ten Cate,"UC Santa Cruz, Santa Cruz, CA, USA",Santa Cruz,United States,4
Baoqiu Cui,"Yahoo! Inc., Sunnyvale, CA",Sunnyvale,United States,7
Barbara Catania,"IMATI-GE CNR, Genova, Italy",Genova,Italy,4
Barzan Mozafari,"University of California at Los Angeles, Los Angeles, CA, USA",Los Angeles,United States,3
Basuki Soetarman,"IBM Silicon Valley Lab, San Jose, CA",San Jose,United States,7
Bee-Chung Chen,"Yahoo! Research, Sunnyvale, CA, USA",Sunnyvale,United States,2
Ben Kao,"The University of Hong Kong, Hong Kong",Pok Fu Lam,Hong Kong,4
Ben Kao,"The University of Hong Kong, Hong Kong, Hong Kong",Pok Fu Lam,Hong Kong,14
Ben Shneiderman,"University of Maryland, College Park, MD, USA",College Park,United States,1
Ben Sowell,"Cornell University, Ithaca, NY, USA",Ithaca,United States,14
Benjamin Bercovitz,"Stanford University, Stanford, CA, USA",Stanford,United States,10
Benjamin Bercovitz,"Stanford University, Stanford, California, USA",Stanford,United States,3
Benjamin Reed,"Yahoo! Research, Santa Clara, CA, USA",Santa Clara,United States,5
Benjamin Reed,"Yahoo! Research, Sunnyvale, CA, USA",Sunnyvale,United States,2
Benjamin Sowell,"Cornell University, Ithaca, NY, USA",Ithaca,United States,12
Benjamin Taskar,"Computer Science Dept., Stanford University, Stanford, CA",Stanford,United States,3
Benjarath Phoophakdee,"Rensselaer Polytechnic Institute, Troy, NY",Troy,United States,2
Benny Kimelfeld,"IBM Research - Almaden, San Jose, CA, USA",San Jose,United States,4
Benny Kimelfeld,"IBM, San Jose, CA, USA",San Jose,United States,3
Benoît Dageville,"Arizona State University at Polytechnic Campus, I3DEA, 878609, 7001 E. Williams Field Rd. Bldg. 140, 85212, Mesa, AZ, USA",Mesa,United States,3
Benoît Dageville,"Oracle, Redwood Shores",Redwood City,United States,11
Benoît Dageville,"Oracle, Redwood Shores, CA, USA",Redwood City,United States,7
Bernhard Braunmüller,"Institute for Computer Science, University of Munich, Oettingenstr. 67, D-80538 München, Germany",Munich,Germany,4
Bernhard Seeger,"Fakultät für Informatik, Otto-von-Guericke-Universität, Magdeburg, Germany FB Mathematik-Informatik, Philipps-Universität, Marburg, Germany",Marburg,Germany,2
Bernhard Seeger,"Philipps-University Marburg, Marburg, Germany",Marburg,Germany,4
Bernhard Seeger,"University of Marburg, Marburg, Germany",Marburg,Germany,2
Berni Schiefer,"IBM Toronto Lab, Markham, ON, Canada",Markham,Canada,3
Bert Van der Linden,"IBM Silicon Valley Lab, San Jose CA",San Jose,United States,14
Bert Van der Linden,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,4
Berthold Reinwald,"IBM Almaden Research Center, San Jose, CA",San Jose,United States,15
Berthold Reinwald,"IBM Almaden Research Center, San Jose, CA, USA",San Jose,United States,4
Berthold Reinwald,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,8
Bertram Ludäscher,"Univ. of California, San Diego La Jolla, CA",San Diego,United States,3
Beth Trushkowsky,"University of California at Berkeley, Berkeley, CA, USA",Berkeley,United States,8
Beth Yost,"The MITRE Corporation, Bedford, MA, USA",Bedford,United States,7
Bettina Kemme,McGill Univ. Montreal,Montréal,Canada,4
Betty Salzberg,Northeastern University,Boston,United States,10
Betty Salzberg,"Northeastern University, Boston, MA",Boston,United States,6
Beverly Yang,Stanford University,Stanford,United States,3
Beysim Sezgin,"Microsoft Research, One Microsoft Way, Redmond, WA 98052, USA",Redmond,United States,13
Bhargav Kanagal,"University of Maryland, College Park, MD, USA",College Park,United States,7
